srcip,dstip,proto,bytes_r,bytes_r_max,bytes_s,bytes_s_max,first,last,pkts_r,pkts_r_max,pkts_s,pkts_s_max,count,activity,ss_time,service
10.145.167.113,192.124.233.66,6,14925277,14925277,73199,73199,31:14.9,31:38.4,11755,11755,928,928,1,['watch_video'],23.467695,netflix
10.145.167.113,23.246.3.157,6,3539743,3539743,40324,40324,31:14.1,31:38.3,2804,2804,452,452,1,['watch_video'],24.219852,netflix
10.145.167.113,23.246.3.206,6,1124879,1124879,16168,16168,31:13.9,31:14.8,889,889,266,266,1,['watch_video'],0.942671,netflix
10.145.167.113,35.161.50.134,6,25327,25327,9713,9713,31:11.4,31:12.5,28,28,26,26,1,['watch_video'],1.129151,netflix
10.145.167.113,52.89.124.203,6,29610,29610,38031,38031,31:11.4,31:15.9,52,52,67,67,1,['watch_video'],4.498797,netflix
10.145.43.25,192.124.233.66,6,2262120,2262120,29902,29902,29:42.9,29:55.2,1798,1798,387,387,1,['browse_home'],12.323052,netflix
10.145.43.25,216.58.194.74,17,2206,2158,3678,3627,29:30.3,30:20.9,7,6,8,7,2,"['browse_home', 'browse_home']",50.556398,netflix
10.145.43.25,23.23.96.14,6,40,40,135,135,29:43.4,29:43.5,1,1,2,2,1,['browse_home'],0.052109,netflix
10.145.43.25,23.246.2.195,6,156134,156134,4395,4395,30:33.3,30:33.4,126,126,68,68,1,['browse_home'],0.09876,netflix
10.145.43.25,23.246.2.197,6,275397,137699,7956,3978,29:47.6,30:33.3,222,111,120,60,2,"['browse_home', 'browse_home']",45.626067,netflix
10.145.43.25,23.246.2.208,6,156137,156137,4395,4395,29:47.7,29:47.9,126,126,68,68,1,['browse_home'],0.123428,netflix
10.145.43.25,23.246.3.204,6,64704,64704,3772,3772,29:47.5,29:47.6,55,55,56,56,1,['browse_home'],0.11008,netflix
10.145.43.25,23.246.3.206,6,64705,64705,2524,2524,30:32.9,30:33.0,55,55,32,32,1,['browse_home'],0.099977,netflix
10.145.43.25,31.13.93.63,6,1833,1833,3449,3449,29:41.9,29:42.1,12,12,13,13,1,['browse_home'],0.145386,netflix
10.145.43.25,52.40.130.35,6,25324,25324,9933,9933,30:15.7,30:16.1,28,28,30,30,1,['browse_home'],0.411982,netflix
10.145.43.25,52.42.117.17,6,0,0,52,52,29:42.9,29:42.9,0,0,1,1,1,['browse_home'],0,netflix
10.145.43.25,52.89.124.203,6,236284,118945,270323,138042,29:29.2,30:40.9,364,183,470,244,2,"['browse_home', 'browse_home']",71.69572,netflix
10.145.167.113,172.217.6.161,17,853,167,966,164,35:12.0,53:29.3,17,3,18,3,7,"['watch_video', 'watch_video', 'watch_video', 'browse_home', 'browse_home', 'watch_video', 'browse_home']",1097.27556,netflix
10.145.167.113,172.217.9.14,6,40,40,75,75,36:35.8,36:35.9,1,1,1,1,1,['watch_video'],0.029556,netflix
10.145.167.113,192.124.233.66,6,83061889,19841134,414665,101786,35:10.2,45:09.7,65428,15629,5676,1401,5,"['watch_video', 'watch_video', 'watch_video', 'browse_home', 'watch_video']",599.527773,netflix
10.145.167.113,23.23.249.245,6,6888,6888,1984,1984,35:05.3,35:05.6,16,16,18,18,1,['watch_video'],0.311237,netflix
10.145.167.113,23.246.2.135,6,13756332,4507913,143988,48004,36:09.9,45:09.7,10900,3572,1630,550,4,"['watch_video', 'watch_video', 'browse_home', 'watch_video']",539.820105,netflix
10.145.167.113,23.246.2.194,6,738213,738213,22589,22589,40:08.8,40:09.8,590,590,379,379,1,['watch_video'],0.972404,netflix
10.145.167.113,23.246.2.195,6,521394,300560,16159,9188,41:12.6,52:59.5,425,244,233,132,3,"['browse_home', 'watch_video', 'browse_home']",706.851488,netflix
10.145.167.113,23.246.2.196,6,137694,137694,3978,3978,52:59.6,52:59.7,111,111,60,60,1,['browse_home'],0.106614,netflix
10.145.167.113,23.246.2.197,6,276687,138989,8176,4094,41:11.7,43:53.4,223,112,124,62,2,"['browse_home', 'browse_home']",161.72656,netflix
10.145.167.113,23.246.2.202,6,64704,64704,2576,2576,43:52.2,43:52.4,55,55,33,33,1,['browse_home'],0.213706,netflix
10.145.167.113,23.246.2.206,6,731758,731758,24525,24525,36:09.9,36:10.6,585,585,416,416,1,['watch_video'],0.724536,netflix
10.145.167.113,23.246.2.211,6,373111,373111,16220,16220,41:10.7,41:11.1,300,300,278,278,1,['browse_home'],0.456568,netflix
10.145.167.113,23.246.3.157,6,4560619,4560619,50564,50564,35:09.3,35:33.7,3613,3613,599,599,1,['watch_video'],24.440898,netflix
10.145.167.113,23.246.3.204,6,156136,156136,4395,4395,52:59.8,52:59.9,126,126,68,68,1,['browse_home'],0.117419,netflix
10.145.167.113,23.246.3.205,6,156133,156133,4395,4395,43:53.5,43:53.6,126,126,68,68,1,['browse_home'],0.116913,netflix
10.145.167.113,23.246.3.207,6,729175,729175,25741,25741,35:09.1,35:10.1,583,583,438,438,1,['watch_video'],1.03388,netflix
10.145.167.113,31.13.93.19,6,10847,10847,6353,6353,44:53.6,44:54.6,23,23,30,30,1,['watch_video'],1.065123,netflix
10.145.167.113,31.13.93.32,6,239,239,215,215,40:10.7,40:10.9,4,4,4,4,1,['watch_video'],0.146147,netflix
10.145.167.113,31.13.93.35,6,1430,1430,1682,1682,44:53.6,44:53.7,10,10,14,14,1,['watch_video'],0.093215,netflix
10.145.167.113,31.13.93.63,6,5479,2813,6782,3531,41:10.6,44:11.9,29,15,37,19,2,"['browse_home', 'browse_home']",181.320903,netflix
10.145.167.113,34.210.42.111,6,166793,137926,196950,159833,40:07.1,53:20.9,228,185,348,288,2,"['watch_video', 'browse_home']",793.817054,netflix
10.145.167.113,35.161.50.134,6,126601,25423,49033,10181,35:06.6,44:44.8,140,30,139,35,5,"['watch_video', 'watch_video', 'watch_video', 'browse_home', 'watch_video']",578.189719,netflix
10.145.167.113,52.40.130.35,6,51246,25821,20270,10181,43:50.1,52:57.8,58,30,68,35,2,"['browse_home', 'browse_home']",547.665179,netflix
10.145.167.113,52.89.124.203,6,197757,119608,226008,137090,35:07.0,44:46.8,300,174,383,219,4,"['watch_video', 'watch_video', 'browse_home', 'watch_video']",579.818334,netflix
